description;volume;page;plate;polygon;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent

Feind töten;8;76;187;187,391,318,466;Chassinat/8_076.jpg;0;131.84;775.0;31.39;78.22;20.83

anbeten;8;78;"";190,423,207,440;Chassinat/8_078.jpg;0;67.35;775.0;29.72;10.15;4.72
Feind töten;8;117;196;378,391,505,464;Chassinat/8_117.jpg;0;357.55;775.0;31.94;75.84;20.28
Feld darreichen;8;8;179;321,459,334,469;Chassinat/8_008.jpg;0;221.41;775.0;11.67;7.76;2.78
Opfer darbringen;8;10;179;320,447,334,457;Chassinat/8_010.jpg;0;220.81;775.0;18.33;8.36;2.78
Krokodil töten;8;11;179;321,434,333,445;Chassinat/8_011.jpg;0;220.81;775.0;25.28;7.17;3.06
Schildkröte töten;8;12;179;320,423,334,433;Chassinat/8_012.jpg;0;220.81;775.0;31.67;8.36;2.78
Morgenbarke darreichen;8;12;179;320,411,333,421;Chassinat/8_012.jpg;0;220.21;775.0;38.33;7.76;2.78
Hemhem;8;14;179;320,402,334,410;Chassinat/8_014.jpg;0;220.81;775.0;43.89;8.36;2.22
Halskragen darreichen;8;2;179;320,391,331,401;Chassinat/8_002.jpg;0;219.02;775.0;49.44;6.57;2.78
Maat darreichen;8;3;179;332,390,347,401;Chassinat/8_003.jpg;0;235.74;775.0;49.72;8.96;3.06
Maat darreichen;8;4;179;349,390,365,401;Chassinat/8_004.jpg;0;256.64;775.0;49.72;9.55;3.06
Spiegel darreichen;8;3;179;367,391,377,401;Chassinat/8_003.jpg;0;274.55;775.0;49.44;5.97;2.78
Hemhem;8;22;179;363,403,376,409;Chassinat/8_022.jpg;0;271.57;775.0;43.89;7.76;1.67
Abendbarke opfern;8;21;179;363,411,377,422;Chassinat/8_021.jpg;0;272.16;775.0;38.06;8.36;3.06
Apophis töten;8;20;179;364,424,377,434;Chassinat/8_020.jpg;0;272.76;775.0;31.11;7.76;2.78
Nilpferd töten;8;19;179;364,436,376,446;Chassinat/8_019.jpg;0;272.16;775.0;24.44;7.17;2.78
Opfer darbringen;8;18;179;363,447,376,457;Chassinat/8_018.jpg;0;271.57;775.0;18.33;7.76;2.78
Feld darreichen;8;17;179;364,459,377,470;Chassinat/8_017.jpg;0;272.76;775.0;11.39;7.76;3.06
Kranz der Rechtfertigung darreichen;8;79;187;187,356,263,389;Chassinat/8_079.jpg;0;98.99;775.0;62.5;45.38;9.17
Die Zauberreiche Krone von Unterägypten geben;8;80;187;266,357,307,390;Chassinat/8_080.jpg;0;172.44;775.0;61.94;24.48;9.17
Maat darreichen;8;82;187;187,320,263,354;Chassinat/8_082.jpg;0;98.99;775.0;82.22;45.38;9.44
Kronen von Oberägypten und Unterägypten darreichen;8;84;187;266,321,323,354;Chassinat/8_084.jpg;0;182.0;775.0;81.94;34.04;9.17
Die Zauberreiche Krone von Oberägypten geben;8;120;196;389,356,432,390;Chassinat/8_120.jpg;0;320.53;775.0;62.22;25.68;9.44
Kranz der Rechtfertigung darreichen;8;119;196;433,356,505,390;Chassinat/8_119.jpg;0;390.39;775.0;62.22;42.99;9.44
Maat darreichen;8;122;196;433,319,505,353;Chassinat/8_122.jpg;0;390.39;775.0;82.78;42.99;9.44
Die beiden Kronen darreichen;8;124;196;371,319,430,353;Chassinat/8_124.jpg;0;308.59;775.0;82.78;35.23;9.44
Gänse opfern;8;29;180;200,512,201,513,198,524,225,524,225,511;Chassinat/8_029.jpg
Antilope schlachten;8;28;179;197,537,198,538,198,527,224,527,224,537;Chassinat/8_028.jpg
... töten;8;28;179;195,551,196,552,197,539,224,539,224,552;Chassinat/8_028.jpg
Nilpferd töten;8;26;180;194,563,195,564,194,554,224,554,224,564;Chassinat/8_026.jpg
Oberägypten und Unterägypten darreichen;8;25;180;192,584,193,585,193,566,224,566,224,585;Chassinat/8_025.jpg
Myrrhe darreichen;8;57;185;269,524,270,525,270,511,293,511,294,523;Chassinat/8_057.jpg
Kranz der Rechtfertigung darreichen;8;56;185;268,536,269,537,269,527,295,527,295,537;Chassinat/8_055.jpg
Wein darreichen;8;54;185;269,552,270,553,270,540,296,540,297,551;Chassinat/8_054.jpg
Mekes ?;8;53;185;269,563,270,564,270,554,298,554,299,564;Chassinat/8_053.jpg
Salbe darreichen;8;52;185;269,585,270,586,270,567,300,567,301,586;Chassinat/8_052.jpg
Weihrauch räuchern;8;65;185;400,523,401,524,402,512,425,512,425,523;Chassinat/8_065.jpg
Hehsymbol und Zweige von Imabaum und Ischedbaum darreichen;8;64;185;398,536,399,537,400,527,425,527,425,536;Chassinat/8_064.jpg
Pflanzen darreichen;8;63;185;396,551,397,552,399,540,424,540,424,551;Chassinat/8_063.jpg
Kraft für die Arme;8;62;185;395,563,396,564,397,555,424,555,424,563;Chassinat/8_062.jpg
Salbe darreichen;8;60;185;393,584,394,585,396,567,424,567,424,585;Chassinat/8_060.jpg
Stabstrauß des Feldes ergreifen;8;37;180;471,522,472,523,472,511,495,511,495,523;Chassinat/8_037.jpg
Rinderschenkel darreichen;8;36;180;471,536,472,537,471,527,496,527,496,536;Chassinat/8_036.jpg
Seth ins Feuer geben;8;35;180;471,551,472,552,471,540,497,540,498,551;Chassinat/8_035.jpg
Krokodil töten;8;34;180;470,563,471,564,471,556,499,556,499,563;Chassinat/8_034.jpg
Oberägypten und Unterägypten darreichen;8;32;180;470,584,471,585,471,567,500,567,501,585;Chassinat/8_032.jpg
Das Westgebirge darbringen;8;91;191;150,263,174,307;Chassinat/8_091.jpg;90;56.0;745.0;84.3;33.0;6.98
Kranz darreichen;8;90;191;119,263,146,307;Chassinat/8_090.jpg;90;56.0;745.0;67.15;33.0;7.85
Himmel stützen;8;89;191;86,263,116,307;Chassinat/8_089.jpg;90;56.0;745.0;48.84;33.0;8.72
Gottesopfer opfern;8;88;191;38,263,81,307;Chassinat/8_088.jpg;90;56.0;745.0;24.71;33.0;12.5
Das Ostgebirge darbringen;8;131;200;517,264,541,306;Chassinat/8_131.jpg;270;431.0;745.0;84.8;31.5;7.02
Halskragen darreichen;8;130;200;545,264,572,306;Chassinat/8_130.jpg;270;431.0;745.0;67.54;31.5;7.89
Himmel stützen;8;129;200;576,264,607,306;Chassinat/8_129.jpg;270;431.0;745.0;48.25;31.5;9.06
Opfer;8;128;200;609,264,653,306;Chassinat/8_128.jpg;270;431.0;745.0;25.15;31.5;12.87
Doppelkrone darreichen;8;103;192;185,216,213,249;Chassinat/8_103.jpg;180;67.94;715.0;81.94;16.72;9.17
Spiegel darreichen;8;104;192;216,216,254,250;Chassinat/8_104.jpg;180;110.94;715.0;82.22;22.69;9.44
Milch darreichen;8;104;192;256,216,276,250;Chassinat/8_104.jpg;180;147.96;715.0;82.22;11.94;9.44
Menit darreichen;8;101;192;229,154,272,214;Chassinat/8_101.jpg;180;129.45;715.0;55.0;25.68;16.67
Antilope töten;8;105;192;278,215,325,249;Chassinat/8_105.jpg;180;190.36;715.0;81.67;28.07;9.44
Stier von Heliopolis (Iunpfeiler) aufrichten;8;100;192;185,154,227,212;Chassinat/8_100.jpg;180;76.3;715.0;54.44;25.08;16.11
Weihrauch räuchern;8;102;192;274,155,318,212;Chassinat/8_102.jpg;180;183.79;715.0;54.72;26.27;15.83
Masten aufrichten;8;95;192;185,104,226,152;Chassinat/8_095.jpg;180;75.71;715.0;23.89;24.48;13.33
Standartenträger;8;96;193;243,141,271,152;Chassinat/8_096.jpg;180;137.21;715.0;34.17;16.72;3.06
Barkenträger;8;98;193;274,140,316,153;Chassinat/8_098.jpg;180;182.59;715.0;34.17;25.08;3.61
Amulett darreichen;8;47;184;318,141,329,152;Chassinat/8_047.jpg;180;216.63;715.0;34.17;6.57;3.06
"";"";"";"";318,155,329,167;#;180;216.63;715.0;42.22;6.57;3.33
Wenescheb darreichen;8;44;184;318,169,330,181;Chassinat/8_044.jpg;180;217.23;715.0;50.0;7.17;3.33
Wein darreichen;8;44;184;331,168,344,182;Chassinat/8_044.jpg;180;233.35;715.0;50.0;7.76;3.89
Wein darreichen;"";"";"";347,169,359,182;#;180;251.86;715.0;50.28;7.17;3.61
Sistrum spielen;8;45;184;362,168,373,182;Chassinat/8_045.jpg;180;269.18;715.0;50.0;6.57;3.89
"";"";"";"";362,154,373,167;#;180;269.18;715.0;41.94;6.57;3.61
Brustamulett umbinden;8;47;184;362,141,374,152;Chassinat/8_047.jpg;180;269.77;715.0;34.17;7.17;3.06
Myrrhe darbringen;8;135;202;375,141,449,152;Chassinat/8_135.jpg;180;322.32;715.0;34.17;44.19;3.06
Weihrauch räuchern;8;139;201;419,154,462,214;Chassinat/8_139.jpg;180;356.36;715.0;55.0;25.68;16.67
Schwert darreichen;8;143;201;414,215,436,251;Chassinat/8_143.jpg;180;337.85;715.0;82.22;13.14;10.0
Sistrum spielen;8;142;201;438,216,475,251;Chassinat/8_142.jpg;180;375.47;715.0;82.5;22.09;9.72
Myrrhe darreichen;8;140;201;371,154,416,213;Chassinat/8_140.jpg;180;300.23;715.0;54.72;26.87;16.39
Seth töten;8;143;201;364,215,411,249;Chassinat/8_143.jpg;180;293.06;715.0;81.67;28.07;9.44
Doppelfederkrone darreichen;8;141;201;477,216,504,249;Chassinat/8_141.jpg;180;416.07;715.0;81.94;16.12;9.17
Obelisk aufrichten;8;138;201;463,154,504,213;Chassinat/8_138.jpg;180;407.71;715.0;54.72;24.48;16.39
Pylon bauen;8;134;201;464,104,504,151;Chassinat/8_134.jpg;180;408.31;715.0;23.61;23.89;13.06
Opfer reinigen;8;149;203;484,96,495,102;Chassinat/8_149.jpg;180;414.88;715.0;7.78;6.57;1.67
Hof (Edfou V);"";"";"";229,87,329,139;Hof.html;180;163.48;715.0;15.56;59.71;14.44
Hof (Edfou V);"";"";"";362,87,462,139;Hof.html;180;322.32;715.0;15.56;59.71;14.44
Ritualhandlung ?;8;149;197;483,467,496,472;Chassinat/8_149.jpg;0;414.88;775.0;8.61;7.76;1.39
